Report_Number,Date_Reported,Date_of_Occurrence,Time_of_Occurrence,City,Crime_Code,Crime_Description,Victim_Age,Victim_Gender,Weapon_Used,Crime_Domain,Police_Deployed,Case_Closed,Date_Case_Closed,Hour,Month,Day_of_Week,Year,Is_Weekend,Day_Name,Season,Time_Bucket,Victim_Age_Group,Weapon_Group,Latitude,Longitude
9028,12-01-2021 03:00,2021-11-01 03:00:00,11-01-2021 15:56,Delhi,191,ROBBERY,18,F,Firearm,Violent Crime,1,No,,15,11,0,2021,0,Monday,Post-Monsoon,Afternoon,Young Adult,Firearm,28.6139,77.209
9029,11-01-2021 13:00,2021-11-01 04:00:00,11-01-2021 06:46,Indore,389,VANDALISM,23,F,Unknown,Other Crime,5,No,,6,11,0,2021,0,Monday,Post-Monsoon,Morning,Young Adult,Unknown,22.7204,75.8682
9030,12-01-2021 12:00,2021-11-01 05:00:00,11-01-2021 08:03,Faridabad,502,PUBLIC INTOXICATION,19,M,Knife,Other Crime,6,Yes,06-02-2021 12:00,8,11,0,2021,0,Monday,Post-Monsoon,Morning,Young Adult,Sharp,28.4031,77.3106
9031,14-01-2021 04:00,2021-11-01 06:00:00,11-01-2021 07:34,Lucknow,452,DRUG OFFENSE,28,F,Explosives,Other Crime,15,No,,7,11,0,2021,0,Monday,Post-Monsoon,Morning,Young Adult,Explosive,26.8381,80.9346
9032,13-01-2021 16:00,2021-11-01 07:00:00,11-01-2021 16:41,Hyderabad,208,FIREARM OFFENSE,68,F,Poison,Fire Accident,5,Yes,11-04-2021 16:00,16,11,0,2021,0,Monday,Post-Monsoon,Afternoon,Senior,Chemical,17.3606,78.4741
9033,12-01-2021 07:00,2021-11-01 08:00:00,12-01-2021 03:20,Bangalore,475,SEXUAL ASSAULT,25,M,Firearm,Violent Crime,14,No,,3,11,0,2021,0,Monday,Post-Monsoon,Night,Young Adult,Firearm,12.9768,77.5901
9034,11-01-2021 22:00,2021-11-01 09:00:00,12-01-2021 00:54,Pune,323,IDENTITY THEFT,40,F,Other,Violent Crime,12,Yes,16-02-2021 22:00,0,11,0,2021,0,Monday,Post-Monsoon,Night,Adult,Other,18.5214,73.8545
9035,12-01-2021 04:00,2021-11-01 10:00:00,12-01-2021 02:43,Chennai,470,ROBBERY,28,F,Unknown,Violent Crime,8,No,,2,11,0,2021,0,Monday,Post-Monsoon,Night,Young Adult,Unknown,13.0837,80.2702
9036,12-01-2021 04:00,2021-11-01 11:00:00,12-01-2021 00:29,Pune,404,IDENTITY THEFT,35,F,Unknown,Violent Crime,5,No,,0,11,0,2021,0,Monday,Post-Monsoon,Night,Adult,Unknown,18.5214,73.8545
9037,13-01-2021 14:00,2021-11-01 12:00:00,12-01-2021 01:12,Ghaziabad,338,VEHICLE - STOLEN,62,M,Poison,Violent Crime,16,Yes,28-02-2021 14:00,1,11,0,2021,0,Monday,Post-Monsoon,Night,Senior,Chemical,28.775,77.4587
9038,12-01-2021 11:00,2021-11-01 13:00:00,11-01-2021 13:02,Kolkata,206,HOMICIDE,11,F,Firearm,Other Crime,8,No,,13,11,0,2021,0,Monday,Post-Monsoon,Afternoon,Child,Firearm,22.5726,88.3639
9039,13-01-2021 23:00,2021-11-01 14:00:00,11-01-2021 22:32,Delhi,370,KIDNAPPING,73,M,Knife,Other Crime,1,No,,22,11,0,2021,0,Monday,Post-Monsoon,Night,Senior,Sharp,28.6139,77.209
9040,12-01-2021 16:00,2021-11-01 15:00:00,11-01-2021 15:53,Hyderabad,431,HOMICIDE,33,F,Explosives,Other Crime,15,No,,15,11,0,2021,0,Monday,Post-Monsoon,Afternoon,Adult,Explosive,17.3606,78.4741
9041,13-01-2021 14:00,2021-11-01 16:00:00,11-01-2021 19:22,Hyderabad,178,COUNTERFEITING,77,F,Knife,Other Crime,8,No,,19,11,0,2021,0,Monday,Post-Monsoon,Evening,Senior,Sharp,17.3606,78.4741
9042,13-01-2021 05:00,2021-11-01 17:00:00,12-01-2021 02:40,Nashik,594,SEXUAL ASSAULT,35,F,Explosives,Violent Crime,1,No,,2,11,0,2021,0,Monday,Post-Monsoon,Night,Adult,Explosive,20.0112,73.7902
9043,14-01-2021 15:00,2021-11-01 18:00:00,12-01-2021 15:19,Delhi,133,SHOPLIFTING,76,M,Firearm,Other Crime,2,No,,15,11,0,2021,0,Monday,Post-Monsoon,Afternoon,Senior,Firearm,28.6139,77.209
9044,14-01-2021 17:00,2021-11-01 19:00:00,12-01-2021 05:55,Nagpur,166,ASSAULT,15,F,Unknown,Violent Crime,12,No,,5,11,0,2021,0,Monday,Post-Monsoon,Morning,Child,Unknown,21.1498,79.0821
9045,14-01-2021 08:00,2021-11-01 20:00:00,12-01-2021 04:52,Mumbai,532,COUNTERFEITING,58,M,Unknown,Other Crime,3,Yes,10-02-2021 08:00,4,11,0,2021,0,Monday,Post-Monsoon,Night,Adult,Unknown,19.055,72.8692
9046,14-01-2021 09:00,2021-11-01 21:00:00,12-01-2021 08:14,Jaipur,400,KIDNAPPING,57,F,Unknown,Other Crime,17,No,,8,11,0,2021,0,Monday,Post-Monsoon,Morning,Adult,Unknown,26.9155,75.819
9047,12-01-2021 19:00,2021-11-01 22:00:00,11-01-2021 23:57,Surat,205,BURGLARY,68,F,Firearm,Other Crime,14,No,,23,11,0,2021,0,Monday,Post-Monsoon,Night,Senior,Firearm,21.2095,72.8317
9048,13-01-2021 12:00,2021-11-01 23:00:00,12-01-2021 03:41,Lucknow,222,DOMESTIC VIOLENCE,30,M,Blunt Object,Violent Crime,3,No,,3,11,0,2021,0,Monday,Post-Monsoon,Night,Adult,Blunt,26.8381,80.9346
9049,14-01-2021 16:00,2021-12-01 00:00:00,12-01-2021 16:01,Visakhapatnam,284,ARSON,77,M,Knife,Fire Accident,1,Yes,15-02-2021 16:00,16,12,2,2021,0,Wednesday,Winter,Afternoon,Senior,Sharp,17.6936,83.2921
9050,14-01-2021 06:00,2021-12-01 01:00:00,12-01-2021 10:52,Mumbai,218,ILLEGAL POSSESSION,10,F,Explosives,Other Crime,12,No,,10,12,2,2021,0,Wednesday,Winter,Morning,Child,Explosive,19.055,72.8692
9051,13-01-2021 21:00,2021-12-01 02:00:00,12-01-2021 02:25,Chennai,210,KIDNAPPING,25,F,Unknown,Other Crime,3,No,,2,12,2,2021,0,Wednesday,Winter,Night,Young Adult,Unknown,13.0837,80.2702
9052,13-01-2021 17:00,2021-12-01 03:00:00,12-01-2021 19:47,Thane,197,SEXUAL ASSAULT,25,F,Knife,Violent Crime,11,No,,19,12,2,2021,0,Wednesday,Winter,Evening,Young Adult,Sharp,19.3654,73.3685
9053,14-01-2021 23:00,2021-12-01 04:00:00,12-01-2021 07:49,Bangalore,135,ASSAULT,23,F,Poison,Violent Crime,17,Yes,31-03-2021 23:00,7,12,2,2021,0,Wednesday,Winter,Morning,Young Adult,Chemical,12.9768,77.5901
9054,12-01-2021 12:00,2021-12-01 05:00:00,13-01-2021 01:52,Kanpur,325,VEHICLE - STOLEN,23,M,Other,Violent Crime,16,No,,1,12,2,2021,0,Wednesday,Winter,Night,Young Adult,Other,26.4609,80.3218
9055,14-01-2021 11:00,2021-12-01 06:00:00,12-01-2021 07:01,Varanasi,584,VEHICLE - STOLEN,48,F,Blunt Object,Violent Crime,4,Yes,13-04-2021 11:00,7,12,2,2021,0,Wednesday,Winter,Morning,Adult,Blunt,25.3356,83.0076
9056,14-01-2021 14:00,2021-12-01 07:00:00,12-01-2021 23:54,Vasai,194,PUBLIC INTOXICATION,70,F,Other,Other Crime,19,Yes,08-02-2021 14:00,23,12,2,2021,0,Wednesday,Winter,Night,Senior,Other,19.3428,72.8054
9057,12-01-2021 17:00,2021-12-01 08:00:00,12-01-2021 23:23,Pune,387,VEHICLE - STOLEN,50,M,Poison,Violent Crime,16,No,,23,12,2,2021,0,Wednesday,Winter,Night,Adult,Chemical,18.5214,73.8545
9058,13-01-2021 13:00,2021-12-01 09:00:00,12-01-2021 14:58,Patna,216,CYBERCRIME,15,F,Other,Other Crime,4,Yes,28-03-2021 13:00,14,12,2,2021,0,Wednesday,Winter,Afternoon,Child,Other,25.6093,85.1235
9059,15-01-2021 09:00,2021-12-01 10:00:00,13-01-2021 05:48,Pune,148,HOMICIDE,72,F,Firearm,Other Crime,14,No,,5,12,2,2021,0,Wednesday,Winter,Morning,Senior,Firearm,18.5214,73.8545
9060,14-01-2021 03:00,2021-12-01 11:00:00,12-01-2021 16:47,Delhi,480,KIDNAPPING,70,F,Unknown,Other Crime,12,No,,16,12,2,2021,0,Wednesday,Winter,Afternoon,Senior,Unknown,28.6139,77.209
9061,13-01-2021 15:00,2021-12-01 12:00:00,12-01-2021 19:06,Ghaziabad,411,PUBLIC INTOXICATION,22,M,Other,Other Crime,18,No,,19,12,2,2021,0,Wednesday,Winter,Evening,Young Adult,Other,28.775,77.4587
9062,12-01-2021 17:00,2021-12-01 13:00:00,12-01-2021 14:49,Delhi,343,FRAUD,48,F,Poison,Other Crime,2,Yes,28-02-2021 17:00,14,12,2,2021,0,Wednesday,Winter,Afternoon,Adult,Chemical,28.6139,77.209
9063,14-01-2021 18:00,2021-12-01 14:00:00,13-01-2021 00:13,Mumbai,482,CYBERCRIME,24,M,Blunt Object,Other Crime,10,No,,0,12,2,2021,0,Wednesday,Winter,Night,Young Adult,Blunt,19.055,72.8692
9064,15-01-2021 10:00,2021-12-01 15:00:00,13-01-2021 11:43,Surat,228,FIREARM OFFENSE,11,F,Other,Fire Accident,11,No,,11,12,2,2021,0,Wednesday,Winter,Morning,Child,Other,21.2095,72.8317
9065,12-01-2021 22:00,2021-12-01 16:00:00,13-01-2021 10:31,Pune,243,ASSAULT,78,F,Unknown,Violent Crime,17,No,,10,12,2,2021,0,Wednesday,Winter,Morning,Senior,Unknown,18.5214,73.8545
9066,15-01-2021 15:00,2021-12-01 17:00:00,13-01-2021 09:20,Agra,465,EXTORTION,54,F,Knife,Other Crime,15,Yes,14-03-2021 15:00,9,12,2,2021,0,Wednesday,Winter,Morning,Adult,Sharp,27.1753,78.0098
9067,14-01-2021 21:00,2021-12-01 18:00:00,13-01-2021 15:27,Ahmedabad,465,DOMESTIC VIOLENCE,49,F,Poison,Violent Crime,13,Yes,24-03-2021 21:00,15,12,2,2021,0,Wednesday,Winter,Afternoon,Adult,Chemical,23.0215,72.5801
9068,13-01-2021 05:00,2021-12-01 19:00:00,13-01-2021 11:22,Kolkata,597,VANDALISM,19,M,Other,Other Crime,2,No,,11,12,2,2021,0,Wednesday,Winter,Morning,Young Adult,Other,22.5726,88.3639
9069,14-01-2021 18:00,2021-12-01 20:00:00,12-01-2021 23:11,Ahmedabad,545,FRAUD,51,F,Poison,Other Crime,16,Yes,18-03-2021 18:00,23,12,2,2021,0,Wednesday,Winter,Night,Adult,Chemical,23.0215,72.5801
9070,12-01-2021 23:00,2021-12-01 21:00:00,13-01-2021 07:00,Hyderabad,291,TRAFFIC VIOLATION,49,F,Knife,Traffic Fatality,19,Yes,04-02-2021 23:00,7,12,2,2021,0,Wednesday,Winter,Morning,Adult,Sharp,17.3606,78.4741
9071,13-01-2021 20:00,2021-12-01 22:00:00,13-01-2021 04:37,Delhi,187,VANDALISM,64,F,Explosives,Other Crime,14,Yes,19-03-2021 20:00,4,12,2,2021,0,Wednesday,Winter,Night,Senior,Explosive,28.6139,77.209
9072,14-01-2021 05:00,2021-12-01 23:00:00,13-01-2021 16:24,Chennai,263,VEHICLE - STOLEN,52,F,Other,Violent Crime,10,No,,16,12,2,2021,0,Wednesday,Winter,Afternoon,Adult,Other,13.0837,80.2702
9073,13-01-2021 06:00,2021-01-13 00:00:00,13-01-2021 04:38,Pune,383,COUNTERFEITING,75,F,Knife,Other Crime,18,Yes,08-03-2021 06:00,4,1,2,2021,0,Wednesday,Winter,Night,Senior,Sharp,18.5214,73.8545
9074,13-01-2021 18:00,2021-01-13 01:00:00,13-01-2021 14:09,Faridabad,235,FRAUD,23,F,Knife,Other Crime,9,Yes,22-01-2021 18:00,14,1,2,2021,0,Wednesday,Winter,Afternoon,Young Adult,Sharp,28.4031,77.3106
9075,14-01-2021 12:00,2021-01-13 02:00:00,13-01-2021 19:51,Bangalore,551,ROBBERY,32,M,Explosives,Violent Crime,1,Yes,23-05-2021 12:00,19,1,2,2021,0,Wednesday,Winter,Evening,Adult,Explosive,12.9768,77.5901
9076,14-01-2021 18:00,2021-01-13 03:00:00,13-01-2021 21:53,Kolkata,581,CYBERCRIME,22,F,Firearm,Other Crime,15,Yes,19-02-2021 18:00,21,1,2,2021,0,Wednesday,Winter,Night,Young Adult,Firearm,22.5726,88.3639
9077,13-01-2021 16:00,2021-01-13 04:00:00,13-01-2021 21:09,Bangalore,257,CYBERCRIME,56,M,Knife,Other Crime,2,No,,21,1,2,2021,0,Wednesday,Winter,Night,Adult,Sharp,12.9768,77.5901
9078,15-01-2021 18:00,2021-01-13 05:00:00,13-01-2021 15:10,Jaipur,186,KIDNAPPING,63,F,Firearm,Other Crime,6,No,,15,1,2,2021,0,Wednesday,Winter,Afternoon,Senior,Firearm,26.9155,75.819
9079,16-01-2021 01:00,2021-01-13 06:00:00,13-01-2021 12:44,Bhopal,463,DOMESTIC VIOLENCE,64,M,Poison,Violent Crime,7,Yes,29-03-2021 01:00,12,1,2,2021,0,Wednesday,Winter,Afternoon,Senior,Chemical,23.2585,77.402
9080,15-01-2021 09:00,2021-01-13 07:00:00,13-01-2021 08:31,Mumbai,595,DOMESTIC VIOLENCE,54,F,Poison,Violent Crime,15,Yes,01-04-2021 09:00,8,1,2,2021,0,Wednesday,Winter,Morning,Adult,Chemical,19.055,72.8692
9081,15-01-2021 14:00,2021-01-13 08:00:00,13-01-2021 12:45,Nashik,469,ARSON,22,M,Knife,Fire Accident,5,Yes,05-02-2021 14:00,12,1,2,2021,0,Wednesday,Winter,Afternoon,Young Adult,Sharp,20.0112,73.7902
9082,16-01-2021 05:00,2021-01-13 09:00:00,14-01-2021 07:18,Patna,253,FRAUD,61,F,Blunt Object,Other Crime,16,Yes,01-02-2021 05:00,7,1,2,2021,0,Wednesday,Winter,Morning,Senior,Blunt,25.6093,85.1235
9083,14-01-2021 02:00,2021-01-13 10:00:00,13-01-2021 14:16,Hyderabad,385,IDENTITY THEFT,40,M,Explosives,Violent Crime,19,Yes,21-03-2021 02:00,14,1,2,2021,0,Wednesday,Winter,Afternoon,Adult,Explosive,17.3606,78.4741
9084,14-01-2021 10:00,2021-01-13 11:00:00,13-01-2021 18:31,Delhi,148,BURGLARY,20,M,Blunt Object,Other Crime,1,Yes,03-04-2021 10:00,18,1,2,2021,0,Wednesday,Winter,Evening,Young Adult,Blunt,28.6139,77.209
9085,15-01-2021 20:00,2021-01-13 12:00:00,14-01-2021 11:46,Nagpur,562,VEHICLE - STOLEN,45,F,Blunt Object,Violent Crime,4,No,,11,1,2,2021,0,Wednesday,Winter,Morning,Adult,Blunt,21.1498,79.0821
9086,13-01-2021 15:00,2021-01-13 13:00:00,14-01-2021 11:50,Chennai,130,ROBBERY,33,F,Explosives,Violent Crime,9,Yes,02-05-2021 15:00,11,1,2,2021,0,Wednesday,Winter,Morning,Adult,Explosive,13.0837,80.2702
9087,15-01-2021 23:00,2021-01-13 14:00:00,14-01-2021 06:31,Indore,270,KIDNAPPING,36,M,Explosives,Other Crime,7,Yes,18-03-2021 23:00,6,1,2,2021,0,Wednesday,Winter,Morning,Adult,Explosive,22.7204,75.8682
9088,15-01-2021 20:00,2021-01-13 15:00:00,14-01-2021 03:08,Bangalore,119,IDENTITY THEFT,23,M,Blunt Object,Violent Crime,13,No,,3,1,2,2021,0,Wednesday,Winter,Night,Young Adult,Blunt,12.9768,77.5901
9089,16-01-2021 07:00,2021-01-13 16:00:00,14-01-2021 07:04,Thane,488,VEHICLE - STOLEN,59,M,Poison,Violent Crime,15,Yes,03-03-2021 07:00,7,1,2,2021,0,Wednesday,Winter,Morning,Adult,Chemical,19.3654,73.3685
9090,15-01-2021 11:00,2021-01-13 17:00:00,14-01-2021 15:29,Surat,494,EXTORTION,59,M,Blunt Object,Other Crime,13,No,,15,1,2,2021,0,Wednesday,Winter,Afternoon,Adult,Blunt,21.2095,72.8317
9091,16-01-2021 06:00,2021-01-13 18:00:00,14-01-2021 14:43,Ghaziabad,350,ARSON,34,F,Explosives,Fire Accident,14,Yes,22-02-2021 06:00,14,1,2,2021,0,Wednesday,Winter,Afternoon,Adult,Explosive,28.775,77.4587
9092,14-01-2021 09:00,2021-01-13 19:00:00,14-01-2021 00:37,Ludhiana,352,FRAUD,19,F,Firearm,Other Crime,7,No,,0,1,2,2021,0,Wednesday,Winter,Night,Young Adult,Firearm,30.909,75.8516
9093,15-01-2021 08:00,2021-01-13 20:00:00,13-01-2021 21:59,Nagpur,392,COUNTERFEITING,46,F,Unknown,Other Crime,17,Yes,26-02-2021 08:00,21,1,2,2021,0,Wednesday,Winter,Night,Adult,Unknown,21.1498,79.0821
9094,14-01-2021 16:00,2021-01-13 21:00:00,14-01-2021 17:12,Agra,213,VANDALISM,27,M,Other,Other Crime,3,Yes,10-03-2021 16:00,17,1,2,2021,0,Wednesday,Winter,Evening,Young Adult,Other,27.1753,78.0098
9095,14-01-2021 18:00,2021-01-13 22:00:00,14-01-2021 01:53,Kanpur,580,FIREARM OFFENSE,36,F,Unknown,Fire Accident,18,Yes,21-02-2021 18:00,1,1,2,2021,0,Wednesday,Winter,Night,Adult,Unknown,26.4609,80.3218
9096,16-01-2021 12:00,2021-01-13 23:00:00,14-01-2021 03:15,Delhi,122,VEHICLE - STOLEN,31,F,Other,Violent Crime,11,No,,3,1,2,2021,0,Wednesday,Winter,Night,Adult,Other,28.6139,77.209
9097,14-01-2021 14:00,2021-01-14 00:00:00,14-01-2021 19:51,Chennai,374,VANDALISM,44,M,Unknown,Other Crime,18,Yes,18-03-2021 14:00,19,1,3,2021,0,Thursday,Winter,Evening,Adult,Unknown,13.0837,80.2702
9098,15-01-2021 04:00,2021-01-14 01:00:00,14-01-2021 19:30,Delhi,473,KIDNAPPING,31,F,Unknown,Other Crime,2,Yes,07-03-2021 04:00,19,1,3,2021,0,Thursday,Winter,Evening,Adult,Unknown,28.6139,77.209
9099,15-01-2021 17:00,2021-01-14 02:00:00,14-01-2021 08:00,Delhi,485,ASSAULT,15,F,Unknown,Violent Crime,7,Yes,15-02-2021 17:00,8,1,3,2021,0,Thursday,Winter,Morning,Child,Unknown,28.6139,77.209
9100,16-01-2021 20:00,2021-01-14 03:00:00,14-01-2021 21:31,Hyderabad,411,ROBBERY,73,F,Other,Violent Crime,1,Yes,05-04-2021 20:00,21,1,3,2021,0,Thursday,Winter,Night,Senior,Other,17.3606,78.4741
9101,15-01-2021 08:00,2021-01-14 04:00:00,14-01-2021 14:17,Thane,356,DRUG OFFENSE,74,F,Poison,Other Crime,8,Yes,14-04-2021 08:00,14,1,3,2021,0,Thursday,Winter,Afternoon,Senior,Chemical,19.3654,73.3685
9102,17-01-2021 00:00,2021-01-14 05:00:00,14-01-2021 18:33,Mumbai,234,ROBBERY,56,F,Other,Violent Crime,8,No,,18,1,3,2021,0,Thursday,Winter,Evening,Adult,Other,19.055,72.8692
9103,16-01-2021 09:00,2021-01-14 06:00:00,15-01-2021 03:14,Ghaziabad,124,PUBLIC INTOXICATION,50,M,Poison,Other Crime,2,No,,3,1,3,2021,0,Thursday,Winter,Night,Adult,Chemical,28.775,77.4587
9104,16-01-2021 07:00,2021-01-14 07:00:00,14-01-2021 23:44,Rajkot,376,ILLEGAL POSSESSION,29,M,Explosives,Other Crime,11,Yes,06-02-2021 07:00,23,1,3,2021,0,Thursday,Winter,Night,Young Adult,Explosive,22.3053,70.8028
9105,16-01-2021 09:00,2021-01-14 08:00:00,14-01-2021 15:40,Kolkata,514,DRUG OFFENSE,16,F,Unknown,Other Crime,5,No,,15,1,3,2021,0,Thursday,Winter,Afternoon,Child,Unknown,22.5726,88.3639
9106,14-01-2021 20:00,2021-01-14 09:00:00,14-01-2021 09:11,Pune,433,KIDNAPPING,67,M,Knife,Other Crime,4,No,,9,1,3,2021,0,Thursday,Winter,Morning,Senior,Sharp,18.5214,73.8545
9107,15-01-2021 11:00,2021-01-14 10:00:00,15-01-2021 07:29,Nagpur,450,DRUG OFFENSE,58,F,Knife,Other Crime,8,Yes,14-02-2021 11:00,7,1,3,2021,0,Thursday,Winter,Morning,Adult,Sharp,21.1498,79.0821
9108,15-01-2021 15:00,2021-01-14 11:00:00,15-01-2021 10:18,Ahmedabad,270,FIREARM OFFENSE,17,M,Other,Fire Accident,6,Yes,01-03-2021 15:00,10,1,3,2021,0,Thursday,Winter,Morning,Child,Other,23.0215,72.5801
9109,14-01-2021 19:00,2021-01-14 12:00:00,15-01-2021 00:38,Kanpur,318,COUNTERFEITING,55,M,Blunt Object,Other Crime,13,No,,0,1,3,2021,0,Thursday,Winter,Night,Adult,Blunt,26.4609,80.3218
9110,16-01-2021 15:00,2021-01-14 13:00:00,15-01-2021 12:01,Kolkata,114,ILLEGAL POSSESSION,78,F,Blunt Object,Other Crime,14,Yes,24-03-2021 15:00,12,1,3,2021,0,Thursday,Winter,Afternoon,Senior,Blunt,22.5726,88.3639
9111,15-01-2021 05:00,2021-01-14 14:00:00,14-01-2021 19:15,Faridabad,591,DRUG OFFENSE,23,F,Firearm,Other Crime,14,Yes,07-03-2021 05:00,19,1,3,2021,0,Thursday,Winter,Evening,Young Adult,Firearm,28.4031,77.3106
9112,16-01-2021 22:00,2021-01-14 15:00:00,14-01-2021 20:50,Thane,361,ROBBERY,59,M,Firearm,Violent Crime,10,Yes,06-03-2021 22:00,20,1,3,2021,0,Thursday,Winter,Evening,Adult,Firearm,19.3654,73.3685
9113,16-01-2021 16:00,2021-01-14 16:00:00,15-01-2021 15:59,Surat,396,EXTORTION,63,F,Firearm,Other Crime,12,No,,15,1,3,2021,0,Thursday,Winter,Afternoon,Senior,Firearm,21.2095,72.8317
9114,16-01-2021 09:00,2021-01-14 17:00:00,15-01-2021 00:32,Mumbai,546,ARSON,17,M,Blunt Object,Fire Accident,2,No,,0,1,3,2021,0,Thursday,Winter,Night,Child,Blunt,19.055,72.8692
9115,15-01-2021 07:00,2021-01-14 18:00:00,15-01-2021 06:54,Jaipur,281,FRAUD,54,M,Knife,Other Crime,4,No,,6,1,3,2021,0,Thursday,Winter,Morning,Adult,Sharp,26.9155,75.819
9116,17-01-2021 17:00,2021-01-14 19:00:00,14-01-2021 19:18,Bangalore,372,EXTORTION,42,M,Unknown,Other Crime,15,No,,19,1,3,2021,0,Thursday,Winter,Evening,Adult,Unknown,12.9768,77.5901
9117,14-01-2021 21:00,2021-01-14 20:00:00,15-01-2021 07:13,Mumbai,151,ASSAULT,40,F,Unknown,Violent Crime,8,Yes,13-04-2021 21:00,7,1,3,2021,0,Thursday,Winter,Morning,Adult,Unknown,19.055,72.8692
9118,15-01-2021 16:00,2021-01-14 21:00:00,15-01-2021 13:42,Chennai,541,BURGLARY,10,F,Poison,Other Crime,14,Yes,07-03-2021 16:00,13,1,3,2021,0,Thursday,Winter,Afternoon,Child,Chemical,13.0837,80.2702
9119,15-01-2021 14:00,2021-01-14 22:00:00,14-01-2021 23:20,Lucknow,276,HOMICIDE,37,F,Poison,Other Crime,6,Yes,23-07-2021 14:00,23,1,3,2021,0,Thursday,Winter,Night,Adult,Chemical,26.8381,80.9346
9120,17-01-2021 18:00,2021-01-14 23:00:00,14-01-2021 23:30,Delhi,144,PUBLIC INTOXICATION,16,M,Other,Other Crime,17,Yes,22-01-2021 18:00,23,1,3,2021,0,Thursday,Winter,Night,Child,Other,28.6139,77.209
9121,17-01-2021 01:00,2021-01-15 00:00:00,15-01-2021 09:17,Jaipur,168,ARSON,10,F,Other,Fire Accident,5,No,,9,1,4,2021,0,Friday,Winter,Morning,Child,Other,26.9155,75.819
9122,15-01-2021 18:00,2021-01-15 01:00:00,15-01-2021 16:51,Hyderabad,206,ROBBERY,69,M,Other,Violent Crime,7,No,,16,1,4,2021,0,Friday,Winter,Afternoon,Senior,Other,17.3606,78.4741
9123,15-01-2021 13:00,2021-01-15 02:00:00,15-01-2021 20:09,Thane,362,TRAFFIC VIOLATION,20,F,Firearm,Traffic Fatality,11,No,,20,1,4,2021,0,Friday,Winter,Evening,Young Adult,Firearm,19.3654,73.3685
9124,16-01-2021 13:00,2021-01-15 03:00:00,16-01-2021 02:50,Mumbai,237,ARSON,27,F,Poison,Fire Accident,19,No,,2,1,4,2021,0,Friday,Winter,Night,Young Adult,Chemical,19.055,72.8692
9125,16-01-2021 11:00,2021-01-15 04:00:00,15-01-2021 18:29,Ahmedabad,571,FIREARM OFFENSE,65,M,Other,Fire Accident,6,Yes,15-04-2021 11:00,18,1,4,2021,0,Friday,Winter,Evening,Senior,Other,23.0215,72.5801
9126,17-01-2021 17:00,2021-01-15 05:00:00,15-01-2021 17:27,Nagpur,207,HOMICIDE,59,F,Unknown,Other Crime,11,Yes,28-04-2022 17:00,17,1,4,2021,0,Friday,Winter,Evening,Adult,Unknown,21.1498,79.0821
9127,17-01-2021 16:00,2021-01-15 06:00:00,15-01-2021 09:45,Lucknow,270,DOMESTIC VIOLENCE,54,M,Knife,Violent Crime,15,Yes,02-04-2021 16:00,9,1,4,2021,0,Friday,Winter,Morning,Adult,Sharp,26.8381,80.9346
9128,16-01-2021 20:00,2021-01-15 07:00:00,15-01-2021 12:08,Bangalore,236,BURGLARY,22,M,Other,Other Crime,3,Yes,03-04-2021 20:00,12,1,4,2021,0,Friday,Winter,Afternoon,Young Adult,Other,12.9768,77.5901
9129,16-01-2021 15:00,2021-01-15 08:00:00,15-01-2021 12:25,Ahmedabad,397,DRUG OFFENSE,23,M,Unknown,Other Crime,18,Yes,07-02-2021 15:00,12,1,4,2021,0,Friday,Winter,Afternoon,Young Adult,Unknown,23.0215,72.5801
9130,15-01-2021 14:00,2021-01-15 09:00:00,15-01-2021 11:33,Faridabad,307,DOMESTIC VIOLENCE,46,F,Other,Violent Crime,11,No,,11,1,4,2021,0,Friday,Winter,Morning,Adult,Other,28.4031,77.3106
9131,16-01-2021 01:00,2021-01-15 10:00:00,15-01-2021 11:13,Patna,285,DOMESTIC VIOLENCE,69,F,Unknown,Violent Crime,9,Yes,26-03-2021 01:00,11,1,4,2021,0,Friday,Winter,Morning,Senior,Unknown,25.6093,85.1235
9132,18-01-2021 08:00,2021-01-15 11:00:00,15-01-2021 13:27,Kolkata,534,VEHICLE - STOLEN,78,M,Poison,Violent Crime,4,Yes,06-03-2021 08:00,13,1,4,2021,0,Friday,Winter,Afternoon,Senior,Chemical,22.5726,88.3639
9133,17-01-2021 06:00,2021-01-15 12:00:00,16-01-2021 07:34,Nagpur,202,CYBERCRIME,16,F,Knife,Other Crime,9,Yes,03-02-2021 06:00,7,1,4,2021,0,Friday,Winter,Morning,Child,Sharp,21.1498,79.0821
9134,15-01-2021 14:00,2021-01-15 13:00:00,16-01-2021 01:47,Nagpur,135,VANDALISM,61,F,Explosives,Other Crime,10,No,,1,1,4,2021,0,Friday,Winter,Night,Senior,Explosive,21.1498,79.0821
9135,16-01-2021 02:00,2021-01-15 14:00:00,16-01-2021 10:16,Kolkata,295,HOMICIDE,64,F,Explosives,Other Crime,9,Yes,12-06-2022 02:00,10,1,4,2021,0,Friday,Winter,Morning,Senior,Explosive,22.5726,88.3639
9136,18-01-2021 07:00,2021-01-15 15:00:00,16-01-2021 11:18,Lucknow,133,ROBBERY,65,M,Knife,Violent Crime,12,Yes,03-07-2021 07:00,11,1,4,2021,0,Friday,Winter,Morning,Senior,Sharp,26.8381,80.9346
